Name,Team,Age,Projected_PA,HR_Park_Factor,HR_rate_raw,age_multiplier,HR_rate_final,Projected_HR
Trey Mancini,CHC,32,263,100,0.0477,0.93,0.0444,11.7
Ildemaro Vargas,WSN,33,297.9,100,0.042,0.93,0.0391,11.6
Cavan Biggio,- - -,30,258.2,100,0.0464,0.97,0.045,11.6
Alan Trejo,COL,28,227,100,0.0511,1,0.0511,11.6
Harold Ramirez,- - -,30,302.4,100,0.0392,0.97,0.038,11.5
Jean Segura,MIA,34,306.4,100,0.0426,0.88,0.0375,11.5
Evan Carter,TEX,23,204.7,100,0.0524,1.07,0.0561,11.5
Robert Hassell III,WSN,24,212.2,100,0.0515,1.05,0.054,11.5
Harold Castro,COL,30,270,100,0.0436,0.97,0.0423,11.4
Christian Moore,LAA,23,189.5,100,0.0562,1.07,0.0601,11.4
Rob Refsnyder,BOS,35,229.4,100,0.0562,0.88,0.0494,11.3
DJ LeMahieu,NYY,36,308.5,100,0.0447,0.82,0.0367,11.3
Josh Donaldson,- - -,38,177.7,100,0.0774,0.82,0.0635,11.3
James McCann,BAL,35,217,100,0.0586,0.88,0.0516,11.2
Seby Zavala,- - -,30,193,100,0.0595,0.97,0.0577,11.1
Vidal Brujan,MIA,27,278,100,0.0389,1.02,0.0397,11
Corey Julks,CWS,29,229.2,100,0.0478,1,0.0478,11
Jeremiah Jackson,BAL,26,183,100,0.0585,1.02,0.0596,10.9
Matt Thaiss,- - -,31,205.9,100,0.0545,0.97,0.0528,10.9
Carlos Perez,OAK,33,189,100,0.0617,0.93,0.0573,10.8
Christian Vazquez,MIN,35,249.7,100,0.0488,0.88,0.0429,10.7
Trayce Thompson,- - -,33,179,100,0.064,0.93,0.0595,10.6
Martin Maldonado,SDP,39,200.9,100,0.0646,0.82,0.053,10.6
Christian Arroyo,BOS,29,206,100,0.0515,1,0.0515,10.6
Graham Pauley,MIA,25,189.5,100,0.0531,1.05,0.0558,10.6
Joey Wendle,MIA,34,298.9,100,0.0401,0.88,0.0353,10.6
Nacho Alvarez Jr.,ATL,23,214.2,100,0.0459,1.07,0.0491,10.5
Tom Murphy,SEA,33,159,100,0.0704,0.93,0.0655,10.4
Kris Bryant,COL,33,209,100,0.0534,0.93,0.0497,10.4
Derek Hill,- - -,29,172,100,0.0602,1,0.0602,10.4
Kolten Wong,- - -,33,250,100,0.0443,0.93,0.0412,10.3
Austin Slater,- - -,33,182.8,100,0.0606,0.93,0.0563,10.3
Darell Hernaiz,ATH,24,202.9,100,0.0481,1.05,0.0505,10.2
Tim Anderson,MIA,32,325.9,100,0.0335,0.93,0.0311,10.1
Cristian Pache,- - -,26,183,100,0.0537,1.02,0.0548,10
Francisco Mejia,TBR,28,160,100,0.0624,1,0.0624,10
Pablo Reyes,BOS,30,185,100,0.0557,0.97,0.054,10
Heston Kjerstad,BAL,27,167,100,0.0585,1.02,0.0597,10
Gio Urshela,ATH,34,265.6,100,0.0418,0.88,0.0368,9.8
Kyle McCann,OAK,27,157,100,0.0609,1.02,0.0622,9.8
Alejandro Osuna,TEX,23,181.3,100,0.0501,1.07,0.0536,9.7
Austin Martin,MIN,27,208.9,100,0.0454,1.02,0.0463,9.7
Donovan Solano,- - -,38,243.1,100,0.0485,0.82,0.0397,9.7
Nick Loftin,KCR,27,181.8,100,0.052,1.02,0.053,9.6
Chad Wallach,LAA,32,172,100,0.0597,0.93,0.0556,9.6
Rougned Odor,SDP,30,157,100,0.0617,0.97,0.0598,9.4
Oscar Gonzalez,CLE,26,180,100,0.0509,1.02,0.0519,9.3
Christian Koss,SFG,28,191,100,0.0484,1,0.0484,9.3
John Rave,KCR,28,175,100,0.0526,1,0.0526,9.2
Austin Hedges,CLE,33,186.9,100,0.052,0.93,0.0483,9
Denzel Clarke,ATH,26,159,100,0.055,1.02,0.0561,8.9
Anthony Rendon,LAA,35,208.2,100,0.0483,0.88,0.0425,8.8
Dominic Fletcher,CWS,27,241,100,0.0359,1.02,0.0366,8.8
Jose Tena,WSN,25,173.7,100,0.0481,1.05,0.0505,8.8
Alex Jackson,TBR,29,155,100,0.0565,1,0.0565,8.8
Ryan Ritter,COL,25,213.2,100,0.039,1.05,0.0409,8.7
